Accession,Symbol,Gene Name,Location,Type,Proteome Profiles,Kinomes,Deep Proteomes,,,,,
IPI00022002,MRPS27,mitochondrial ribosomal protein S27,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00022007,WASF1,"WAS protein family, member 1",Nucleus,other,FALSE,FALSE,TRUE,,,,,
IPI00022019,SAP30 (includes EG:60406),"Sin3A-associated protein, 30kDa",Nucleus,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00022020,INPP4B,"inositol polyphosphate-4-phosphatase, type II, 105kDa",unknown,phosphatase,TRUE,FALSE,TRUE,,,,,
IPI00022022,FIG4,"FIG4 homolog, SAC1 lipid phosphatase domain containing (S. cerevisiae)",Cytoplasm,enzyme,FALSE,FALSE,TRUE,,,,,
IPI00022028,FAM168A,"family with sequence similarity 168, member A",unknown,other,FALSE,FALSE,TRUE,,,,,
IPI00022033,RAB11FIP5,RAB11 family interacting protein 5 (class I),Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00022043,TSC1,tuberous sclerosis 1,Cytoplasm,other,FALSE,FALSE,TRUE,,,,,
IPI00022048,PTGFRN,prostaglandin F2 receptor negative regulator,Plasma Membrane,other,TRUE,FALSE,TRUE,,,,,
IPI00022058,ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00022078,NDRG1,N-myc downstream regulated 1,Nucleus,other,TRUE,TRUE,TRUE,,,,,
IPI00022091,CDC16,cell division cycle 16 homolog (S. cerevisiae),Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00022095,PEG10,paternally expressed 10,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00022133,EPB41L2,erythrocyte membrane protein band 4.1-like 2,Plasma Membrane,other,TRUE,FALSE,TRUE,,,,,
IPI00022134,RAB1B,"RAB1B, member RAS oncogene family",Cytoplasm,other,TRUE,FALSE,FALSE,,,,,
IPI00022139,GIMAP2,"GTPase, IMAP family member 2",unknown,other,FALSE,FALSE,TRUE,,,,,
IPI00022143,ESYT1,extended synaptotagmin-like protein 1,unknown,other,TRUE,FALSE,TRUE,,,,,
IPI00022145,NUCKS1,nuclear casein kinase and cyclin-dependent kinase substrate 1,Nucleus,kinase,TRUE,FALSE,TRUE,,,,,
IPI00022150,PIP5K1A,"phosphatidylinositol-4-phosphate 5-kinase, type I, alpha",Cytoplasm,kinase,FALSE,FALSE,TRUE,,,,,
IPI00022156, , , , ,TRUE,FALSE,FALSE,,,,,
IPI00022164,ARHGEF12,Rho guanine nucleotide exchange factor (GEF) 12,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00022200,COL6A3,"collagen, type VI, alpha 3",Extracellular Space,other,TRUE,TRUE,TRUE,,,,,
IPI00022201,SDS,serine dehydratase,Cytoplasm,enzyme,TRUE,FALSE,FALSE,,,,,
IPI00022203,CD33,CD33 molecule,Plasma Membrane,other,TRUE,FALSE,FALSE,,,,,
IPI00022204,SERPINB3,"serpin peptidase inhibitor, clade B (ovalbumin), member 3",Cytoplasm,other,TRUE,TRUE,FALSE,,,,,
IPI00022215,ADNP,activity-dependent neuroprotector homeobox,Nucleus,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00022223,WNT5B,"wingless-type MMTV integration site family, member 5B",Extracellular Space,other,TRUE,FALSE,TRUE,,,,,
IPI00022228,HDLBP,high density lipoprotein binding protein,Nucleus,transporter,TRUE,FALSE,TRUE,,,,,
IPI00022229,APOB,apolipoprotein B (including Ag(x) antigen),Extracellular Space,transporter,TRUE,TRUE,TRUE,,,,,
IPI00022239,METAP1,methionyl aminopeptidase 1,Cytoplasm,peptidase,TRUE,FALSE,TRUE,,,,,
IPI00022240,ISCU,iron-sulfur cluster scaffold homolog (E. coli),Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00022246,AZU1,azurocidin 1,Cytoplasm,peptidase,TRUE,FALSE,FALSE,,,,,
IPI00022250,LY96 (includes EG:17087),lymphocyte antigen 96,Plasma Membrane,other,TRUE,FALSE,FALSE,,,,,
IPI00022254,ATG3 (includes EG:171415),autophagy related 3,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00022256,AP2M1,"adaptor-related protein complex 2, mu 1 subunit",Cytoplasm,transporter,FALSE,FALSE,TRUE,,,,,
IPI00022265,CCDC22,coiled-coil domain containing 22,unknown,other,TRUE,FALSE,TRUE,,,,,
IPI00022275,SACM1L,SAC1 suppressor of actin mutations 1-like (yeast),Cytoplasm,phosphatase,TRUE,TRUE,TRUE,,,,,
IPI00022277,CCDC56,coiled-coil domain containing 56,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00022282,NR3C1,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",Nucleus,ligand-dependent nuclear receptor,FALSE,FALSE,TRUE,,,,,
IPI00022283,TFF1,trefoil factor 1,Extracellular Space,other,FALSE,FALSE,TRUE,,,,,
IPI00022296,KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,Plasma Membrane,protein kinase,FALSE,TRUE,FALSE,,,,,
IPI00022300,METTL7A,methyltransferase like 7A,unknown,other,TRUE,TRUE,TRUE,,,,,
IPI00022305,BZW2,basic leucine zipper and W2 domains 2,Cytoplasm,translation regulator,TRUE,TRUE,TRUE,,,,,
IPI00022314,SOD2,"superoxide dismutase 2, mitochondrial",Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00022316,MRPS18B,mitochondrial ribosomal protein S18B,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00022317,C19orf53,chromosome 19 open reading frame 53,unknown,other,FALSE,FALSE,TRUE,,,,,
IPI00022320,MRPL42,mitochondrial ribosomal protein L42,Cytoplasm,other,FALSE,FALSE,TRUE,,,,,
IPI00022334,OAT,ornithine aminotransferase,Cytoplasm,enzyme,TRUE,TRUE,TRUE,,,,,
IPI00022340,CDK2AP1,cyclin-dependent kinase 2 associated protein 1,Nucleus,kinase,TRUE,FALSE,TRUE,,,,,
IPI00022344,FLVCR1,feline leukemia virus subgroup C cellular receptor 1,Plasma Membrane,transporter,TRUE,FALSE,TRUE,,,,,
IPI00022348,PML,promyelocytic leukemia,Nucleus,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00022353,TYK2,tyrosine kinase 2,Plasma Membrane,protein kinase,FALSE,TRUE,FALSE,,,,,
IPI00022370,CUX2,cut-like homeobox 2,Nucleus,transcription regulator,FALSE,FALSE,TRUE,,,,,
IPI00022373,NOB1,NIN1/RPN12 binding protein 1 homolog (S. cerevisiae),Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00022386,TXNDC9,thioredoxin domain containing 9,unknown,other,TRUE,FALSE,TRUE,,,,,
IPI00022388,DPYSL4,dihydropyrimidinase-like 4,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00022402,FAM32A,"family with sequence similarity 32, member A",Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00022403,MRPL13 (includes EG:28998),mitochondrial ribosomal protein L13,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00022418,FN1 (includes EG:100005469),fibronectin 1,Extracellular Space,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00022420,RBP4,"retinol binding protein 4, plasma",Extracellular Space,transporter,TRUE,FALSE,TRUE,,,,,
IPI00022421,COX7A2L,cytochrome c oxidase subunit VIIa polypeptide 2 like,Cytoplasm,enzyme,TRUE,TRUE,TRUE,,,,,
IPI00022430,GAPDHS,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic",Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00022433,HSPB6,"heat shock protein, alpha-crystallin-related, B6",Cytoplasm,other,TRUE,FALSE,FALSE,,,,,
IPI00022434,ALB,albumin,Extracellular Space,transporter,TRUE,FALSE,FALSE,,,,,
IPI00022442,NDUFAB1,"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa",Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00022447,LPGAT1,lysophosphatidylglycerol acyltransferase 1,Cytoplasm,other,TRUE,TRUE,TRUE,,,,,
IPI00022449,DOCK2,dedicator of cytokinesis 2,Cytoplasm,other,TRUE,TRUE,TRUE,,,,,
IPI00022461,DYNC1I1,"dynein, cytoplasmic 1, intermediate chain 1",Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00022462,TFRC,"transferrin receptor (p90, CD71)",Plasma Membrane,transporter,TRUE,TRUE,TRUE,,,,,
IPI00022477,BCL10,B-cell CLL/lymphoma 10,Cytoplasm,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00022479,HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00022482,NEU2,sialidase 2 (cytosolic sialidase),Cytoplasm,enzyme,TRUE,FALSE,FALSE,,,,,
IPI00022498,MT2A,metallothionein 2A,Cytoplasm,other,FALSE,FALSE,TRUE,,,,,
IPI00022508,SKAP2,src kinase associated phosphoprotein 2,Cytoplasm,other,TRUE,FALSE,FALSE,,,,,
IPI00022520,RFXANK,regulatory factor X-associated ankyrin-containing protein,Nucleus,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00022525,LPAR1,lysophosphatidic acid receptor 1,Plasma Membrane,G-protein coupled receptor,FALSE,FALSE,TRUE,,,,,
IPI00022536,RPS6KA4,"ribosomal protein S6 kinase, 90kDa, polypeptide 4",Cytoplasm,protein kinase,TRUE,TRUE,TRUE,,,,,
IPI00022542,ROCK1,"Rho-associated, coiled-coil containing protein kinase 1",Cytoplasm,protein kinase,TRUE,FALSE,TRUE,,,,,
IPI00022543,PIGK,"phosphatidylinositol glycan anchor biosynthesis, class K",Cytoplasm,peptidase,TRUE,TRUE,TRUE,,,,,
IPI00022558,MPZL1,myelin protein zero-like 1,Plasma Membrane,other,TRUE,FALSE,TRUE,,,,,
IPI00022597,UBE2M,ubiquitin-conjugating enzyme E2M,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00022602,DOK2,"docking protein 2, 56kDa",Plasma Membrane,other,TRUE,FALSE,FALSE,,,,,
IPI00022608,SORL1,"sortilin-related receptor, L(DLR class) A repeats containing",Plasma Membrane,transporter,TRUE,FALSE,TRUE,,,,,
IPI00022613,NOP14,NOP14 nucleolar protein homolog (yeast),Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00022624,GPRC5A,"G protein-coupled receptor, family C, group 5, member A",Plasma Membrane,G-protein coupled receptor,TRUE,FALSE,FALSE,,,,,
IPI00022628,MAP7,microtubule-associated protein 7,Cytoplasm,other,TRUE,TRUE,TRUE,,,,,
IPI00022633,TNK1,"tyrosine kinase, non-receptor, 1",Cytoplasm,protein kinase,FALSE,TRUE,FALSE,,,,,
IPI00022640,NRGN,"neurogranin (protein kinase C substrate, RC3)",Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00022648,EIF5,eukaryotic translation initiation factor 5,Cytoplasm,translation regulator,TRUE,FALSE,TRUE,,,,,
IPI00022649,SLC12A2,"solute carrier family 12 (sodium/potassium/chloride transporters), member 2",Plasma Membrane,transporter,TRUE,TRUE,TRUE,,,,,
IPI00022654,TM2D3,TM2 domain containing 3,unknown,other,FALSE,FALSE,TRUE,,,,,
IPI00022661,PVRL2,poliovirus receptor-related 2 (herpesvirus entry mediator B),Plasma Membrane,other,TRUE,FALSE,TRUE,,,,,
IPI00022664,RABGGTA,"Rab geranylgeranyltransferase, alpha subunit",Extracellular Space,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00022674,OSMR,oncostatin M receptor,Plasma Membrane,transmembrane receptor,TRUE,FALSE,TRUE,,,,,
IPI00022694,PSMD4,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4",Cytoplasm,other,TRUE,FALSE,FALSE,,,,,
IPI00022697,DRG2,developmentally regulated GTP binding protein 2,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00022730,NR1H2,"nuclear receptor subfamily 1, group H, member 2",Nucleus,ligand-dependent nuclear receptor,FALSE,FALSE,TRUE,,,,,
IPI00022744,CSE1L,CSE1 chromosome segregation 1-like (yeast),Nucleus,transporter,TRUE,TRUE,TRUE,,,,,
IPI00022745,MVD,mevalonate (diphospho) decarboxylase,Cytoplasm,kinase,TRUE,FALSE,TRUE,,,,,
IPI00022758,GAN,gigaxonin,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00022759,PGGT1B,"protein geranylgeranyltransferase type I, beta subunit",Cytoplasm,enzyme,FALSE,FALSE,TRUE,,,,,
IPI00022774,VCP,valosin containing protein,Cytoplasm,enzyme,TRUE,TRUE,TRUE,,,,,
IPI00022790,MFAP1,microfibrillar-associated protein 1,Extracellular Space,other,TRUE,FALSE,TRUE,,,,,
IPI00022793,HADHB,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit",Cytoplasm,enzyme,TRUE,TRUE,TRUE,,,,,
IPI00022810,CTSC,cathepsin C,Cytoplasm,peptidase,TRUE,FALSE,TRUE,,,,,
IPI00022820,GTF2B,general transcription factor IIB,Nucleus,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00022824,SH3GLB1,SH3-domain GRB2-like endophilin B1,Cytoplasm,enzyme,FALSE,FALSE,TRUE,,,,,
IPI00022827,SLK,STE20-like kinase,Nucleus,protein kinase,TRUE,TRUE,TRUE,,,,,
IPI00022831,TBP,TATA box binding protein,Nucleus,transcription regulator,FALSE,FALSE,TRUE,,,,,
IPI00022832,BRP44,brain protein 44,Plasma Membrane,other,TRUE,FALSE,TRUE,,,,,
IPI00022865,CCNA2,cyclin A2,Nucleus,other,TRUE,TRUE,TRUE,,,,,
IPI00022872,LIMK2,LIM domain kinase 2,Cytoplasm,protein kinase,FALSE,TRUE,FALSE,,,,,
IPI00022881,CLTCL1,"clathrin, heavy chain-like 1",Plasma Membrane,other,TRUE,TRUE,TRUE,,,,,
IPI00022887,ERGIC1,endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1,Cytoplasm,other,TRUE,TRUE,TRUE,,,,,
IPI00022891,SLC25A4,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4",Cytoplasm,transporter,TRUE,TRUE,TRUE,,,,,
IPI00022892,THY1,Thy-1 cell surface antigen,Plasma Membrane,other,TRUE,TRUE,TRUE,,,,,
IPI00022934,CD3D,"CD3d molecule, delta (CD3-TCR complex)",Plasma Membrane,transmembrane receptor,TRUE,FALSE,TRUE,,,,,
IPI00022963,SYF2 (includes EG:170933),"SYF2 homolog, RNA splicing factor (S. cerevisiae)",Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00022974,PIP,prolactin-induced protein,Extracellular Space,other,TRUE,FALSE,FALSE,,,,,
IPI00022975,ALOX5AP,arachidonate 5-lipoxygenase-activating protein,Plasma Membrane,other,TRUE,FALSE,TRUE,,,,,
IPI00022977,CKB,"creatine kinase, brain",Cytoplasm,kinase,TRUE,FALSE,TRUE,,,,,
IPI00023001,FAM162A,"family with sequence similarity 162, member A",Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00023004,EIF1AY,"eukaryotic translation initiation factor 1A, Y-linked",Cytoplasm,translation regulator,TRUE,FALSE,TRUE,,,,,
IPI00023006,ACTC1,"actin, alpha, cardiac muscle 1",Cytoplasm,enzyme,TRUE,TRUE,FALSE,,,,,
IPI00023020,SEMG1,semenogelin I,Extracellular Space,other,FALSE,FALSE,TRUE,,,,,
IPI00023032,GNGT2,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2",Plasma Membrane,enzyme,TRUE,FALSE,FALSE,,,,,
IPI00023035,SLC20A1,"solute carrier family 20 (phosphate transporter), member 1",Plasma Membrane,transporter,FALSE,FALSE,TRUE,,,,,
IPI00023048,EEF1D,eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein),Cytoplasm,translation regulator,TRUE,FALSE,TRUE,,,,,
IPI00023051,TECTA,tectorin alpha,Extracellular Space,enzyme,FALSE,FALSE,TRUE,,,,,
IPI00023064,NDUFAF4,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 4",Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00023073,XRCC3,X-ray repair complementing defective repair in Chinese hamster cells 3,Nucleus,enzyme,FALSE,FALSE,TRUE,,,,,
IPI00023080,CRIPT,cysteine-rich PDZ-binding protein,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00023086,MRPL15 (includes EG:27395),mitochondrial ribosomal protein L15,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00023087,UBE2T,ubiquitin-conjugating enzyme E2T (putative),Nucleus,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00023095,MLF2,myeloid leukemia factor 2,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00023100,DVL1,"dishevelled, dsh homolog 1 (Drosophila)",Cytoplasm,other,FALSE,FALSE,TRUE,,,,,
IPI00023101,RQCD1,RCD1 required for cell differentiation1 homolog (S. pombe),Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00023103,DVL2,"dishevelled, dsh homolog 2 (Drosophila)",Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00023122,PDLIM7,PDZ and LIM domain 7 (enigma),Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00023137,TOR1B,"torsin family 1, member B (torsin B)",Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00023138,RAC3,"ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)",Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00023161,MRPL46,mitochondrial ribosomal protein L46,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00023165,ABCD4,"ATP-binding cassette, sub-family D (ALD), member 4",Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00023177,CHAF1A,"chromatin assembly factor 1, subunit A (p150)",Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00023191,TOM1 (includes EG:10043),target of myb1 (chicken),Cytoplasm,transporter,FALSE,FALSE,TRUE,,,,,
IPI00023234,UBA2,ubiquitin-like modifier activating enzyme 2,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00023322,DPF2,"D4, zinc and double PHD fingers family 2",Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00023330,KIAA1468,KIAA1468,unknown,other,TRUE,FALSE,TRUE,,,,,
IPI00023334,MRPL4 (includes EG:363023),mitochondrial ribosomal protein L4,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00023339,CREBBP,CREB binding protein,Nucleus,transcription regulator,FALSE,FALSE,TRUE,,,,,
IPI00023344,SYMPK,symplekin,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00023359,MCAT,malonyl CoA:ACP acyltransferase (mitochondrial),Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00023406,HCCS,holocytochrome c synthase,Cytoplasm,enzyme,TRUE,TRUE,TRUE,,,,,
IPI00023407,NCKAP1L,NCK-associated protein 1-like,Plasma Membrane,other,TRUE,FALSE,TRUE,,,,,
IPI00023409,UPF3B,UPF3 regulator of nonsense transcripts homolog B (yeast),Nucleus,transporter,TRUE,FALSE,TRUE,,,,,
IPI00023467,ELL,elongation factor RNA polymerase II,Nucleus,transcription regulator,FALSE,FALSE,TRUE,,,,,
IPI00023480,LY6K,"lymphocyte antigen 6 complex, locus K",Nucleus,other,TRUE,TRUE,FALSE,,,,,
IPI00023500,DPAGT1,dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase),Cytoplasm,enzyme,TRUE,TRUE,TRUE,,,,,
IPI00023503,CDK3,cyclin-dependent kinase 3,Nucleus,protein kinase,FALSE,TRUE,FALSE,,,,,
IPI00023504,RAB3A,"RAB3A, member RAS oncogene family",Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00023510,RAB5A,"RAB5A, member RAS oncogene family",Cytoplasm,enzyme,TRUE,TRUE,TRUE,,,,,
IPI00023526,RAB6A,"RAB6A, member RAS oncogene family",Cytoplasm,enzyme,TRUE,TRUE,TRUE,,,,,
IPI00023529,CDK6,cyclin-dependent kinase 6,Nucleus,protein kinase,TRUE,TRUE,TRUE,,,,,
IPI00023530,CDK5,cyclin-dependent kinase 5,Nucleus,protein kinase,TRUE,TRUE,TRUE,,,,,
IPI00023532,SPATS2L,"spermatogenesis associated, serine-rich 2-like",unknown,other,TRUE,FALSE,FALSE,,,,,
IPI00023540,TMEM98,transmembrane protein 98,Cytoplasm,other,TRUE,FALSE,FALSE,,,,,
IPI00023542,TMED9,transmembrane emp24 protein transport domain containing 9,Cytoplasm,transporter,TRUE,TRUE,TRUE,,,,,
IPI00023549,LGALSL,"lectin, galactoside-binding-like",unknown,other,TRUE,FALSE,TRUE,,,,,
IPI00023555,OSBPL3,oxysterol binding protein-like 3,Cytoplasm,other,TRUE,TRUE,TRUE,,,,,
IPI00023556,SSU72,SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae),unknown,other,TRUE,FALSE,TRUE,,,,,
IPI00023591,PURA,purine-rich element binding protein A,Nucleus,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00023598,TUBB4A,"tubulin, beta 4A class IVa",Cytoplasm,other,TRUE,TRUE,TRUE,,,,,
IPI00023601,HAPLN1,hyaluronan and proteoglycan link protein 1,Extracellular Space,other,FALSE,FALSE,TRUE,,,,,
IPI00023605,CDC42EP1,CDC42 effector protein (Rho GTPase binding) 1,Extracellular Space,other,TRUE,FALSE,TRUE,,,,,
IPI00023630,APAF1,apoptotic peptidase activating factor 1,Cytoplasm,other,FALSE,FALSE,TRUE,,,,,
IPI00023635,IMPA2,inositol(myo)-1(or 4)-monophosphatase 2,Cytoplasm,phosphatase,TRUE,FALSE,TRUE,,,,,
IPI00023640,PDCD5,programmed cell death 5,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00023647,UBA6,ubiquitin-like modifier activating enzyme 6,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00023649,SBNO1,strawberry notch homolog 1 (Drosophila),unknown,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00023664,CHEK1,checkpoint kinase 1,Nucleus,protein kinase,TRUE,FALSE,TRUE,,,,,
IPI00023673,LGALS3BP,"lectin, galactoside-binding, soluble, 3 binding protein",Plasma Membrane,transmembrane receptor,TRUE,TRUE,TRUE,,,,,
IPI00023704,LPP,LIM domain containing preferred translocation partner in lipoma,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00023711,EVPL,envoplakin,Plasma Membrane,other,TRUE,FALSE,FALSE,,,,,
IPI00023727,KIF3C,kinesin family member 3C,Cytoplasm,other,FALSE,FALSE,TRUE,,,,,
IPI00023728,GGH,"gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)",Cytoplasm,peptidase,TRUE,FALSE,TRUE,,,,,
IPI00023729,FN3K,fructosamine 3 kinase,Cytoplasm,kinase,TRUE,FALSE,TRUE,,,,,
IPI00023736,CORO2A,"coronin, actin binding protein, 2A",Cytoplasm,other,FALSE,FALSE,TRUE,,,,,
IPI00023785,DDX17,DEAD (Asp-Glu-Ala-Asp) box helicase 17,Nucleus,enzyme,TRUE,FALSE,FALSE,,,,,
IPI00023786,PTPRCAP,"protein tyrosine phosphatase, receptor type, C-associated protein",Plasma Membrane,other,TRUE,FALSE,TRUE,,,,,
IPI00023807,SEMA4D,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D",Plasma Membrane,transmembrane receptor,TRUE,TRUE,TRUE,,,,,
IPI00023814,NEO1,neogenin 1,Plasma Membrane,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00023832,SH3PXD2B,SH3 and PX domains 2B,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00023845,KLK6,kallikrein-related peptidase 6,Extracellular Space,peptidase,TRUE,FALSE,TRUE,,,,,
IPI00023860,NAP1L1,nucleosome assembly protein 1-like 1,Nucleus,other,TRUE,TRUE,TRUE,,,,,
IPI00023868,ABCC2,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2",Plasma Membrane,transporter,TRUE,FALSE,TRUE,,,,,
IPI00023876,CASP6,"caspase 6, apoptosis-related cysteine peptidase",Cytoplasm,peptidase,TRUE,FALSE,TRUE,,,,,
IPI00023919,PSMC5,"proteasome (prosome, macropain) 26S subunit, ATPase, 5",Nucleus,transcription regulator,TRUE,TRUE,TRUE,,,,,
IPI00023939,RABIF,RAB interacting factor,unknown,transporter,TRUE,FALSE,TRUE,,,,,
IPI00023958,MPV17,MpV17 mitochondrial inner membrane protein,Cytoplasm,other,TRUE,TRUE,TRUE,,,,,
IPI00023972,DDX47,DEAD (Asp-Glu-Ala-Asp) box polypeptide 47,Nucleus,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00023974,PTTG1IP,pituitary tumor-transforming 1 interacting protein,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00023975,POLR2K,"polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa",Nucleus,enzyme,FALSE,FALSE,TRUE,,,,,
IPI00023978,RCAN1,regulator of calcineurin 1,Nucleus,transcription regulator,FALSE,FALSE,TRUE,,,,,
IPI00023987,PPCS,phosphopantothenoylcysteine synthetase,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00024006,PIK3R4,"phosphoinositide-3-kinase, regulatory subunit 4",Cytoplasm,protein kinase,TRUE,FALSE,TRUE,,,,,
IPI00024007,SMTN,smoothelin,Extracellular Space,other,TRUE,FALSE,FALSE,,,,,
IPI00024008,CDKN2D,"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)",Nucleus,transcription regulator,FALSE,FALSE,TRUE,,,,,
IPI00024012,FZD7,frizzled family receptor 7,Plasma Membrane,G-protein coupled receptor,FALSE,FALSE,TRUE,,,,,
IPI00024023,PIGM,"phosphatidylinositol glycan anchor biosynthesis, class M",Cytoplasm,enzyme,FALSE,TRUE,FALSE,,,,,
IPI00024024,AKAP17A,A kinase (PRKA) anchor protein 17A,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00024034,CDH4,"cadherin 4, type 1, R-cadherin (retinal)",Plasma Membrane,other,FALSE,FALSE,TRUE,,,,,
IPI00024035,CDH6,"cadherin 6, type 2, K-cadherin (fetal kidney)",Plasma Membrane,other,TRUE,FALSE,TRUE,,,,,
IPI00024046,CDH13,"cadherin 13, H-cadherin (heart)",Plasma Membrane,other,TRUE,FALSE,TRUE,,,,,
IPI00024056,WIPI2,"WD repeat domain, phosphoinositide interacting 2",Cytoplasm,other,FALSE,FALSE,TRUE,,,,,
IPI00024062,EPB41L1,erythrocyte membrane protein band 4.1-like 1,Plasma Membrane,other,FALSE,FALSE,TRUE,,,,,
IPI00024067,CLTC,"clathrin, heavy chain (Hc)",Plasma Membrane,other,TRUE,TRUE,TRUE,,,,,
IPI00024071,HSF1 (includes EG:15499),heat shock transcription factor 1,Nucleus,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00024083,NAAA,N-acylethanolamine acid amidase,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00024087,PDHA2,pyruvate dehydrogenase (lipoamide) alpha 2,Cytoplasm,enzyme,TRUE,FALSE,FALSE,,,,,
