Protein IDs (Uniprot),Gene names,Fasta header,Peptides,Unique peptides,Sequence coverage,Q-value,Rep1 tp = 0h,Rep1 tp = 1h,Rep1 tp = 2h,Rep1 tp = 4h,Rep1 tp = 8h,Rep1 tp = 16h,Rep1 tp = 32h,Rep2 tp = 0h,Rep2 tp = 1h,Rep2 tp = 2h,Rep2 tp = 4h,Rep2 tp = 8h,Rep2 tp = 16h,Rep2 tp = 32h,Rep3 tp = 0h,Rep3 tp = 1h,Rep3 tp = 2h,Rep3 tp = 4h,Rep3 tp = 8h,Rep3 tp = 16h,Rep3 tp = 32h,# data points,1-state-model_kA [h-1],2-state-model_kA [h-1],2-state-model_kB [h-1],2-state-model_ktransfer [h-1],1-state-model_AICp,1-state-model_RSS,2-state-model_AICp,2-state-model_RSS,Half-life (exponential) 1-state-model [h],Half-life (steady state) 2-state-model [h],score,Degradation profile,Abundance after pulse,Validation score
Q3V3R1,Mthfd1l,">sp|Q3V3R1|C1TM_MOUSE Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Mus musculus GN=Mthfd1l PE=1 SV=2",32,32,44.9,0,100,,,85.4845217,72.34679,58.6689913,57.9707757,100,,,93.3229132,76.8104431,,,100,84.088826,62.1097369,73.1629289,47.6575634,56.4871124,46.2263797,15,0.026281162,0.745253867,0.013651119,1.112789942,0.531228865,0.044892421,0.468771135,0.021208593,26.3742969,50.4,-0.005014672,UN,0.017804783,
Q499E4-2,Dzip1l,>sp|Q499E4-2|DZI1L_MOUSE Isoform 2 of Zinc finger protein DZIP1L OS=Mus musculus GN=Dzip1l;>sp|Q499E4|DZI1L_MOUSE Zinc finger protein DZIP1L OS=Mus musculus GN=Dzip1l PE=2 SV=1,3,3,7.8,0,,,,,,,,,,,,,,,100,59.1179751,55.4660792,55.6658593,34.4267521,,,5,0.147980404,4.996518824,0.076528169,1.559324742,0.999965737,0.048514829,3.42632E-05,0.004222071,4.684047103,8.6,0.052635,ED,0.00683919,
Q4FK66,Prpf38a,>sp|Q4FK66|PR38A_MOUSE Pre-mRNA-splicing factor 38A OS=Mus musculus GN=Prpf38a PE=1 SV=1,8,8,24.4,0,,,,,,,,,,,,,,,100,77.3211304,58.9965609,39.9966648,30.6593325,34.6939705,28.4230787,7,0.052475175,0.360518337,0.003160095,0.13645058,0.159765598,0.218061718,0.840234402,0.003442583,13.2090495,214.1,0.325257653,NED,0.086751989,0
Q4FZF3,Ddx49,>sp|Q4FZF3|DDX49_MOUSE Probable ATP-dependent RNA helicase DDX49 OS=Mus musculus GN=Ddx49 PE=2 SV=1,8,8,24.6,0,,,,,,,,,,,,,,,100,80.3579944,61.6268386,57.8000582,39.2954933,15.6949837,10.3012254,7,0.082940898,0.146093496,3.56E-05,0.014421716,0.820356811,0.094342512,0.179643189,0.009159564,8.357121699,> 300,0.081150156,ED,0.0558835,
Q4KML4,Abracl,>sp|Q4KML4|ABRAL_MOUSE Costars family protein ABRACL OS=Mus musculus GN=Abracl PE=3 SV=1;>tr|E9QMV2|E9QMV2_MOUSE Costars family protein ABRACL OS=Mus musculus GN=Abracl PE=4 SV=1,4,4,76.5,0,100,,,94.4706021,67.5093946,72.8701573,43.1627813,100,,,94.4284686,85.1125431,68.6487038,46.4550941,100,117.4485636,103.3317347,116.3797402,93.7178828,74.0093872,46.1675239,17,0.023653941,6.09E-07,0.027571097,0.279342039,0.88312711,0.010517167,0.11687289,0.008779797,29.30366583,25.5,-0.023716392,ED,0.505742143,
Q4U2R1-2,Herc2,>sp|Q4U2R1-2|HERC2_MOUSE Isoform 2 of E3 ubiquitin-protein ligase HERC2 OS=Mus musculus GN=Herc2;>sp|Q4U2R1|HERC2_MOUSE E3 ubiquitin-protein ligase HERC2 OS=Mus musculus GN=Herc2 PE=1 SV=3,21,21,6.1,0,,,,,,,,,,,,,,,100,67.9432531,53.2608623,34.8184712,24.3656079,,,5,0.201911796,0.423143971,0.046491192,0.153376939,0.999137106,0.037547455,0.000862894,0.000247195,3.432920677,11,0.349023456,UN,0.001732038,
Q4VA53,Pds5b,>sp|Q4VA53|PDS5B_MOUSE Sister chromatid cohesion protein PDS5 homolog B OS=Mus musculus GN=Pds5b PE=1 SV=1;>sp|Q4VA53-3|PDS5B_MOUSE Isoform 3 of Sister chromatid cohesion protein PDS5 homolog B OS=Mus musculus GN=Pds5b;>tr|F8WHU5|F8WHU5_MOUSE Sister chroma,36,32,28.2,0,100,,,62.2000687,53.3627562,36.9241939,41.2719008,,,,,,,,100,78.9673473,63.2088287,46.6546856,36.2512703,27.5397683,24.9486218,12,0.047179746,0.205476453,0.003894176,0.096891615,0.137963004,0.149795915,0.862036996,0.02707208,14.69162591,171.2,0.20791709,NED,0.045430791,1
Q4VAC9-2,Plekhg3,>sp|Q4VAC9-2|PKHG3_MOUSE Isoform 2 of Pleckstrin homology domain-containing family G member 3 OS=Mus musculus GN=Plekhg3;>sp|Q4VAC9|PKHG3_MOUSE Pleckstrin homology domain-containing family G member 3 OS=Mus musculus GN=Plekhg3 PE=1 SV=2;>sp|Q4VAC9-3|PKHG3_,12,12,11.8,0,,,,,,,,,,,,,,,100,88.9692273,81.2039443,66.0036529,49.3343589,,,5,0.092323853,0.576061318,0.083938859,2.909468181,0.999993449,0.000863165,6.55142E-06,0.000282195,7.507780011,8.2,0.062185447,ED,0.009489317,
Q4VBE8,Wdr18,>sp|Q4VBE8|WDR18_MOUSE WD repeat-containing protein 18 OS=Mus musculus GN=Wdr18 PE=1 SV=1,12,12,35.3,0,100,,,,,59.5998592,81.2621341,,,,,,,,100,76.0425992,66.12119,60.4668208,73.5237888,57.0345848,60.2212874,10,0.017280445,0.630076285,3.48E-07,0.651399456,0.26463196,0.068735221,0.73536804,0.010190433,40.11165071,> 300,0.349294822,UN,0.024879538,
Q501J6,Ddx17,">sp|Q501J6|DDX17_MOUSE Probable ATP-dependent RNA helicase DDX17 OS=Mus musculus GN=Ddx17 PE=1 SV=1;>tr|Q3U741|Q3U741_MOUSE DEAD (Asp-Glu-Ala-Asp) box polypeptide 17, isoform CRA_a OS=Mus musculus GN=Ddx17 PE=2 SV=1;>sp|Q501J6-2|DDX17_MOUSE Isoform 2 of Pr",27,18,43.7,0,100,,,110.6965372,93.7266905,85.6548305,74.890599,100,129.6640794,120.7780037,124.4125682,98.4183416,105.6775843,77.4475584,100,103.8900208,91.4359035,92.5964188,84.4945492,98.8288546,87.8329675,19,0.005840924,7.84E-07,0.025025457,0.025016352,0.911931959,0.013829953,0.088068041,0.012861352,118.6708028,45.8,-0.134015994,ED,0.142436579,
Q501J7-2,Phactr4,>sp|Q501J7-2|PHAR4_MOUSE Isoform 2 of Phosphatase and actin regulator 4 OS=Mus musculus GN=Phactr4;>sp|Q501J7|PHAR4_MOUSE Phosphatase and actin regulator 4 OS=Mus musculus GN=Phactr4 PE=1 SV=2;>sp|Q501J7-3|PHAR4_MOUSE Isoform 3 of Phosphatase and actin reg,13,13,29.1,0,,,,,,,,,,,,,,,100,114.6950424,134.3081701,109.4891374,113.1945565,94.0569509,73.2972143,7,0.006476114,7.37E-08,0.029065691,0.029021202,0.994792827,0.024627224,0.005207173,0.02019186,107.031337,39.5,-0.028686219,ED,0.039678269,
Q505D1,Ankrd28,>sp|Q505D1|ANR28_MOUSE Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Mus musculus GN=Ankrd28 PE=1 SV=1,13,12,20,0,,,,,,,,,,,,,,,100,100.430619,96.2961116,88.9483132,78.0190243,72.9431218,49.2088111,7,0.022171677,0.032207626,0.020624981,0.275726971,0.995096442,0.00115892,0.004903558,0.000983556,31.26273079,33.5,-0.006994,ED,0.026124466,
Q505F1,Nr2c1,>sp|Q505F1|NR2C1_MOUSE Nuclear receptor subfamily 2 group C member 1 OS=Mus musculus GN=Nr2c1 PE=1 SV=3,3,3,6.3,0.00051046,,,,,,,,,,,,,,,100,81.5988615,77.1479154,64.532528,47.8787375,,,5,0.098426331,4.353593658,0.077436496,4.140969576,0.999750267,0.003896399,0.000249733,6.92E-05,7.042294234,8.8,0.069751438,ED,0.013593643,
Q505F5,Lrrc47,>sp|Q505F5|LRC47_MOUSE Leucine-rich repeat-containing protein 47 OS=Mus musculus GN=Lrrc47 PE=2 SV=1;>tr|E9PV22|E9PV22_MOUSE Leucine-rich repeat-containing protein 47 OS=Mus musculus GN=Lrrc47 PE=4 SV=1,23,23,47,0,100,103.0154645,133.8029549,76.7947554,96.7367167,,,,,,,,,,100,116.7391688,109.7205169,105.9551206,99.2168525,100.33749,88.9461294,12,0.002686406,2.07E-06,0.0167646,0.016738161,0.962869968,0.016310867,0.037130032,0.016070666,258.0203027,68.4,0.092834349,ED,0.082957449,
Q52KE7,Ccnl1,>sp|Q52KE7|CCNL1_MOUSE Cyclin-L1 OS=Mus musculus GN=Ccnl1 PE=1 SV=1;>sp|Q52KE7-2|CCNL1_MOUSE Isoform 2 of Cyclin-L1 OS=Mus musculus GN=Ccnl1,7,6,16.5,0,,,,,,,,,,,,,,,100,63.7555171,71.0451468,53.5963363,64.3062222,,,5,0.084243429,4.972436335,0.006742042,1.412499897,0.999979751,0.060029865,2.02487E-05,0.00795735,8.227907986,102.3,0.402932491,UN,0.028680289,
Q52KI8-2,Srrm1,>sp|Q52KI8-2|SRRM1_MOUSE Isoform 2 of Serine/arginine repetitive matrix protein 1 OS=Mus musculus GN=Srrm1;>tr|E9QKA4|E9QKA4_MOUSE Serine/arginine repetitive matrix protein 1 OS=Mus musculus GN=Srrm1 PE=1 SV=1;>tr|A2A8V8|A2A8V8_MOUSE Serine/arginine repeti,7,7,9.9,0,100,,,78.5652024,75.0762815,73.3426506,62.6722087,,,,,,,,100,85.0796335,88.1123861,83.0382078,81.9411902,77.1170198,65.3641148,12,0.016031611,0.820224894,0.008882086,1.720241391,0.024215612,0.009925822,0.975784388,0.000963732,43.23627819,77.9,0.092096848,UN,0.035975795,
Q52KR3-6,Prune2,>sp|Q52KR3-6|PRUN2_MOUSE Isoform 6 of Protein prune homolog 2 OS=Mus musculus GN=Prune2;>sp|Q52KR3|PRUN2_MOUSE Protein prune homolog 2 OS=Mus musculus GN=Prune2 PE=2 SV=2,19,19,8.7,0,,,,,,,,,,,,,,,100,89.7570865,87.3892166,94.7064705,66.5279511,61.9375414,23.209351,7,0.042681291,0.025532358,0.073039921,0.047537767,0.993748797,0.010738462,0.006251203,0.007926709,16.24007059,14.2,-0.149386146,ED,0.007385929,
Q569Z5,Ddx46,>sp|Q569Z5|DDX46_MOUSE Probable ATP-dependent RNA helicase DDX46 OS=Mus musculus GN=Ddx46 PE=1 SV=2;>sp|Q569Z5-2|DDX46_MOUSE Isoform 2 of Probable ATP-dependent RNA helicase DDX46 OS=Mus musculus GN=Ddx46;>tr|F8WHR6|F8WHR6_MOUSE Probable ATP-dependent RNA ,36,36,35.9,0,100,,,92.8270634,107.3618645,108.6915593,64.537691,,,,,,,,100,91.7987192,99.999903,84.0355457,85.8142081,77.9189299,75.826246,12,0.010004335,0.410111742,0.009333954,4.974477099,0.963682618,0.011364755,0.036317382,0.011283469,69.28468112,74.2,0.103693515,ED,0.038714162,
Q569Z6,Thrap3,>sp|Q569Z6|TR150_MOUSE Thyroid hormone receptor-associated protein 3 OS=Mus musculus GN=Thrap3 PE=1 SV=1;>tr|Q8BZN7|Q8BZN7_MOUSE Thyroid hormone receptor-associated protein 3 OS=Mus musculus GN=Thrap3 PE=1 SV=1,23,23,24,0,100,89.6154014,101.5390506,88.0229479,79.4199807,90.6203279,79.8764738,100,,,70.6851118,63.2334577,,,100,86.7995665,73.6134468,77.658328,68.9617985,85.7542201,75.1647802,17,0.011596521,0.178002798,1.76E-06,0.447259079,0.133479368,0.030317695,0.866520632,0.010126892,59.77199167,> 300,0.067042637,UN,0.110568688,
Q571H0,Urb1,>sp|Q571H0|NPA1P_MOUSE Nucleolar pre-ribosomal-associated protein 1 OS=Mus musculus GN=Urb1 PE=2 SV=2;>tr|E9PU96|E9PU96_MOUSE Nucleolar pre-ribosomal-associated protein 1 OS=Mus musculus GN=Urb1 PE=4 SV=1,42,42,24.2,0,,,,,,,,,,,,,,,100,71.6030569,56.5734254,56.2999184,54.0213783,43.7312491,37.8521084,7,0.038841541,0.695698298,0.013724544,0.538402992,0.138523485,0.101976615,0.861476515,0.001462864,17.84551189,49.5,0.266581926,NED,0.015607417,2
Q58A65-2,Spag9,>sp|Q58A65-2|JIP4_MOUSE Isoform 2 of C-Jun-amino-terminal kinase-interacting protein 4 OS=Mus musculus GN=Spag9;>sp|Q58A65|JIP4_MOUSE C-Jun-amino-terminal kinase-interacting protein 4 OS=Mus musculus GN=Spag9 PE=1 SV=2;>sp|Q58A65-5|JIP4_MOUSE Isoform 5 of ,31,26,32,0,,,,,,,,,,,,,,,100,96.1175553,104.1330333,89.8795035,90.6300491,74.2293332,65.6451554,7,0.014219519,0.234252136,0.013812689,4.875768156,0.996205629,0.002035596,0.003794371,0.002001495,48.74617644,50.2,0.057508127,ED,0.006371517,
Q5DTM8,Rnf20,>sp|Q5DTM8|BRE1A_MOUSE E3 ubiquitin-protein ligase BRE1A OS=Mus musculus GN=Rnf20 PE=2 SV=2;>tr|A2AIR2|A2AIR2_MOUSE E3 ubiquitin-protein ligase BRE1A (Fragment) OS=Mus musculus GN=Rnf20 PE=4 SV=1;>sp|Q5DTM8-2|BRE1A_MOUSE Isoform 2 of E3 ubiquitin-protein l,25,22,31.3,0,,,,,,,,,,,,,,,100,80.5810428,64.3559982,48.3937546,28.6987246,21.1365922,16.5040361,7,0.070698783,0.232011792,0.012517402,0.062718543,0.006658278,0.166329819,0.993341722,0.000388233,9.804230681,44.3,0.101640681,UN,0.018132834,
Q5DTT3,Fam208b,>sp|Q5DTT3|F208B_MOUSE Protein FAM208B OS=Mus musculus GN=Fam208b PE=2 SV=2,27,27,16.1,0,,,,,,,,,,,,,,,100,79.6017735,59.855041,44.0276323,26.0383107,,,5,0.18000992,0.304421248,0.104659757,0.233695295,0.999930147,0.008956508,6.98527E-05,0.000440853,3.850605459,5.3,0.147552159,ED,0.049507983,
Q5DW34-2,Ehmt1,>sp|Q5DW34-2|EHMT1_MOUSE Isoform 2 of Histone-lysine N-methyltransferase EHMT1 OS=Mus musculus GN=Ehmt1;>tr|Z4YJZ7|Z4YJZ7_MOUSE Histone-lysine N-methyltransferase EHMT1 OS=Mus musculus GN=Ehmt1 PE=4 SV=1;>sp|Q5DW34|EHMT1_MOUSE Histone-lysine N-methyltransf,8,7,9,0,,,,,,,,,,,,,,,100,95.254496,64.3263352,73.8193191,47.7738799,,,5,0.094761736,0.269914096,0.072218415,0.857889322,0.999997927,0.014309432,2.07321E-06,0.011744425,7.314631506,9.4,-0.06579587,ED,0.00399883,
Q5EG47,Prkaa1,>sp|Q5EG47|AAPK1_MOUSE 5-AMP-activated protein kinase catalytic subunit alpha-1 OS=Mus musculus GN=Prkaa1 PE=1 SV=2,22,19,53.7,0,100,83.2008162,77.2745507,,,,,100,103.9838231,96.7873911,78.4682425,57.293591,,,100,100.8844648,92.1691678,85.8592093,67.0816552,53.8304868,35.807185,15,0.03634618,0.070196834,0.018717109,0.090583519,0.579327716,0.011833674,0.420672284,0.005888902,19.07070247,33.6,-0.041591503,UN,0.075456221,
Q5F2E8,Taok1,>sp|Q5F2E8|TAOK1_MOUSE Serine/threonine-protein kinase TAO1 OS=Mus musculus GN=Taok1 PE=1 SV=1,21,17,25.3,0,,,,,,,,,,,,,,,100,91.7211391,93.5683789,93.5870026,92.646561,78.1193052,68.0048312,7,0.012736526,1.300820819,0.010859046,4.971170971,0.987991157,0.001477298,0.012008843,0.000748437,54.42199592,63.8,0.02808952,ED,0.017489506,
Q5FWI3,Tmem2,>sp|Q5FWI3|TMEM2_MOUSE Transmembrane protein 2 OS=Mus musculus GN=Tmem2 PE=1 SV=1,12,12,11.1,0,,,,,,,,,,,,,,,100,87.7660579,70.068069,40.8393707,22.2083328,,,5,0.193666072,0.001107479,0.19573019,4.26085884,0.999998359,0.004317879,1.6412E-06,0.004272337,3.579084217,3.6,0.143172248,ED,0.003277729,
Q5FWK3,Arhgap1,>sp|Q5FWK3|RHG01_MOUSE Rho GTPase-activating protein 1 OS=Mus musculus GN=Arhgap1 PE=1 SV=1;>tr|A2AH25|A2AH25_MOUSE Rho GTPase-activating protein 1 OS=Mus musculus GN=Arhgap1 PE=1 SV=1,17,17,57.2,0,100,,,93.7657463,89.6641046,84.0879738,87.1208816,,,,,,,,100,102.2427892,103.0456255,109.0491518,112.1866578,93.1758736,74.9640645,12,0.006355438,6.34E-07,0.008492604,0.155545631,0.955676437,0.005431387,0.044323563,0.005032057,109.0636409,82,-0.009655367,ED,0.082811241,
Q5H8C4-2,Vps13a,>sp|Q5H8C4-2|VP13A_MOUSE Isoform 2 of Vacuolar protein sorting-associated protein 13A OS=Mus musculus GN=Vps13a;>sp|Q5H8C4|VP13A_MOUSE Vacuolar protein sorting-associated protein 13A OS=Mus musculus GN=Vps13a PE=2 SV=1,11,11,5.5,0,,,,,,,,,,,,,,,100,80.2464762,62.8449053,56.9767227,42.9777607,,,5,0.119471483,0.41334564,0.058954499,0.531702826,0.999947368,0.01610881,5.26322E-05,0.000994419,5.801779309,11.1,0.140283716,ED,0.004234656,
Q5NC05,Ttf2,>sp|Q5NC05|TTF2_MOUSE Transcription termination factor 2 OS=Mus musculus GN=Ttf2 PE=1 SV=2,18,18,22.1,0,,,,,,,,,,,,,,,100,100.5895735,94.7044789,96.4704165,83.8209705,55.1728138,24.8347076,7,0.040840626,0.057425214,0.040807087,3.013592225,0.996450617,0.007512627,0.003549383,0.007675025,16.97200191,17,-0.052309732,ED,0.005073361,
Q5NCQ5,Dph1,>sp|Q5NCQ5|DPH1_MOUSE Diphthamide biosynthesis protein 1 OS=Mus musculus GN=Dph1 PE=1 SV=1,7,7,18.9,0,,,,,,,,,,,,,,,100,93.1514811,63.8950948,73.4144199,48.4838794,,,5,0.094053032,0.313835735,0.067070961,0.865667976,0.999997642,0.014672697,2.3576E-06,0.010865739,7.369748386,10.1,-0.052919595,ED,0.013452585,
Q5ND34-3,Wdr81,>sp|Q5ND34-3|WDR81_MOUSE Isoform 3 of WD repeat-containing protein 81 OS=Mus musculus GN=Wdr81;>sp|Q5ND34|WDR81_MOUSE WD repeat-containing protein 81 OS=Mus musculus GN=Wdr81 PE=1 SV=2;>tr|K4DI77|K4DI77_MOUSE WD repeat-containing protein 81 (Fragment) OS=M,8,8,6.4,0,,,,,,,,,,,,,,,100,73.0594556,55.2121653,44.2472215,27.1727265,,,5,0.17867096,0.531061182,0.112544821,0.552919547,0.999855009,0.020081171,0.000144991,0.00055105,3.879461903,5.5,0.163899497,UN,0.0029962,
Q5PRF0,Heatr5a,>sp|Q5PRF0|HTR5A_MOUSE HEAT repeat-containing protein 5A OS=Mus musculus GN=Heatr5a PE=2 SV=2,16,16,11.2,0,,,,,,,,,,,,,,,100,115.4137159,94.0956009,83.9845495,85.5997647,,,5,0.022593223,7.45E-06,0.024999587,1.160907189,0.999998326,0.007101081,1.67372E-06,0.006916771,30.67942965,27.7,0.096793479,ED,0.00623105,
Q5PSV9,Mdc1,>sp|Q5PSV9|MDC1_MOUSE Mediator of DNA damage checkpoint protein 1 OS=Mus musculus GN=Mdc1 PE=1 SV=1;>tr|E9QK89|E9QK89_MOUSE Mediator of DNA damage checkpoint protein 1 OS=Mus musculus GN=Mdc1 PE=1 SV=1,23,23,21.4,0,100,,,97.3505391,81.6133391,,,,,,,,,,100,102.367414,88.3794235,90.5961296,66.0787767,60.4095756,31.5665358,10,0.035037219,0.001462699,0.036822001,0.738861403,0.972172259,0.004894878,0.027827741,0.004524872,19.78316799,18.9,-0.091569722,ED,0.023039437,
Q5RJG1,Nol10,>sp|Q5RJG1|NOL10_MOUSE Nucleolar protein 10 OS=Mus musculus GN=Nol10 PE=2 SV=1,21,21,38.4,0,,,,,,,,,,,,,,,100,81.532846,66.8005096,65.3183214,51.3225858,17.8861024,14.8520834,7,0.070779696,0.126549025,5.87E-06,0.017790006,0.951556519,0.08451005,0.048443481,0.018885871,9.793022901,> 300,0.092378048,ED,0.031716942,
Q5RJH6-3,Smg7,>sp|Q5RJH6-3|SMG7_MOUSE Isoform 3 of Protein SMG7 OS=Mus musculus GN=Smg7;>sp|Q5RJH6|SMG7_MOUSE Protein SMG7 OS=Mus musculus GN=Smg7 PE=2 SV=1;>tr|Z4YJK8|Z4YJK8_MOUSE Protein SMG7 OS=Mus musculus GN=Smg7 PE=4 SV=1;>sp|Q5RJH6-2|SMG7_MOUSE Isoform 2 of Prote,11,11,13.1,0,,,,,,,,,,,,,,,100,89.4350584,78.3529407,64.3106224,45.5845045,,,5,0.101766476,0.128214684,0.037669813,0.077098028,0.999921796,0.000745396,7.82044E-05,3.35E-05,6.811154394,13.8,0.048644185,ED,0.004897383,
Q5SF07,Igf2bp2,>sp|Q5SF07|IF2B2_MOUSE Insulin-like growth factor 2 mRNA-binding protein 2 OS=Mus musculus GN=Igf2bp2 PE=1 SV=1;>tr|A6X8Z3|A6X8Z3_MOUSE Insulin-like growth factor 2 mRNA-binding protein 2 OS=Mus musculus GN=Igf2bp2 PE=1 SV=1;>sp|Q5SF07-2|IF2B2_MOUSE Isofor,21,20,40.4,0,,,,,,,,100,102.9094278,86.2335747,135.6728916,99.2457313,108.5155817,103.6758648,100,108.6334556,123.0305462,95.3682241,114.3398739,110.7697411,122.7513294,14,1.56E-06,4.83E-05,3.11E-07,3.531329331,0.954041991,0.017601072,0.045958009,0.017599293,> 300,> 300,-0.097217327,ED,0.059052952,
Q5SFM8,Rbm27,>sp|Q5SFM8|RBM27_MOUSE RNA-binding protein 27 OS=Mus musculus GN=Rbm27 PE=2 SV=3;>sp|Q5SFM8-3|RBM27_MOUSE Isoform 3 of RNA-binding protein 27 OS=Mus musculus GN=Rbm27;>sp|Q5SFM8-2|RBM27_MOUSE Isoform 2 of RNA-binding protein 27 OS=Mus musculus GN=Rbm27,24,23,29.2,0,,,,,,,,100,111.9564104,100.6454187,107.5235021,113.4405821,81.3808614,61.7659356,100,88.1664205,102.8693029,,,79.8111598,81.3249065,12,0.010408398,0.004563494,0.010533303,1.993206831,0.963859668,0.01097663,0.036140332,0.010916556,66.59499037,65.8,-0.009484748,ED,0.026165531,
Q5SNZ0-3,Ccdc88a,>sp|Q5SNZ0-3|GRDN_MOUSE Isoform 3 of Girdin OS=Mus musculus GN=Ccdc88a;>sp|Q5SNZ0-2|GRDN_MOUSE Isoform 2 of Girdin OS=Mus musculus GN=Ccdc88a;>sp|Q5SNZ0|GRDN_MOUSE Girdin OS=Mus musculus GN=Ccdc88a PE=1 SV=2,21,21,13.4,0,,,,,,,,,,,,,,,100,93.1588618,89.0724216,97.41976,64.4025667,,,5,0.046200029,7.22E-06,0.141304334,0.141339861,0.999997423,0.006256661,2.57743E-06,0.004314372,15.00317638,8.1,-0.193867202,UN,0.008513399,
Q5SRX1-2,Tom1l2,>sp|Q5SRX1-2|TM1L2_MOUSE Isoform 2 of TOM1-like protein 2 OS=Mus musculus GN=Tom1l2;>sp|Q5SRX1|TM1L2_MOUSE TOM1-like protein 2 OS=Mus musculus GN=Tom1l2 PE=2 SV=1;>sp|Q5SRX1-3|TM1L2_MOUSE Isoform 3 of TOM1-like protein 2 OS=Mus musculus GN=Tom1l2;>sp|Q5SRX,14,14,39.4,0,,,,,,,,,,,,,,,100,108.8681611,98.2969314,96.2798165,81.896805,,,5,0.019984998,0.029447108,0.020120335,3.056487094,0.999998413,0.002977472,1.5866E-06,0.003026899,34.68337545,34.4,-0.061943691,ED,0.037569476,
Q5SSH7,Zzef1,>sp|Q5SSH7|ZZEF1_MOUSE Zinc finger ZZ-type and EF-hand domain-containing protein 1 OS=Mus musculus GN=Zzef1 PE=1 SV=2;>tr|E9Q5W5|E9Q5W5_MOUSE Zinc finger ZZ-type and EF-hand domain-containing protein 1 OS=Mus musculus GN=Zzef1 PE=1 SV=1;>sp|Q5SSH7-2|ZZEF1_,23,23,10.2,0,,,,,,,,,,,,,,,100,88.6528177,64.4451515,66.2627882,42.2001073,34.2395151,24.7401019,7,0.05230166,0.177578288,0.018674346,0.113887748,0.7460165,0.069565801,0.2539835,0.005248672,13.25287143,32.5,-0.019831996,UN,0.006373968,
Q5SSI6,Utp18,>sp|Q5SSI6|UTP18_MOUSE U3 small nucleolar RNA-associated protein 18 homolog OS=Mus musculus GN=Utp18 PE=1 SV=1,25,25,60.5,0,,,,,,,,100,88.9636294,70.6001773,52.2586301,34.4062387,16.0385589,18.1161963,100,84.1560353,64.8418852,53.4101804,44.4279172,17.7121965,13.7866994,14,0.072173833,0.16174783,2.83E-06,0.02559775,0.004555573,0.13806752,0.995444427,0.012453224,9.603857074,> 300,0.168508292,NED,0.185404977,4
Q5SSW2,Psme4,>sp|Q5SSW2|PSME4_MOUSE Proteasome activator complex subunit 4 OS=Mus musculus GN=Psme4 PE=1 SV=1,21,21,15.2,0,,,,,,,,,,,,,,,100,73.6690473,50.7572116,38.7122964,30.3326956,33.5757129,22.4322161,7,0.058822566,0.467648364,0.013781722,0.19236013,0.245098332,0.225580641,0.754901668,0.004834906,11.78369501,46.8,0.352540883,UN,0.010675541,
Q5SSZ5,Tns3,>sp|Q5SSZ5|TENS3_MOUSE Tensin-3 OS=Mus musculus GN=Tns3 PE=1 SV=1,34,33,41.7,0,100,102.0193911,86.4024838,75.8342752,58.1755254,26.3169221,24.6429213,100,110.5285606,91.3862521,81.5344368,57.6264245,,,100,112.7825415,89.3024409,93.5870026,59.1800557,43.1056784,24.3469624,19,0.049889924,0.422347322,0.048292172,3.136502144,0.932264041,0.026511334,0.067735959,0.026176609,13.89353062,14.3,-0.066708005,ED,0.088062708,
Q5SU73,Coil,>sp|Q5SU73|COIL_MOUSE Coilin OS=Mus musculus GN=Coil PE=2 SV=1;>tr|E9Q284|E9Q284_MOUSE Coilin OS=Mus musculus GN=Coil PE=4 SV=1;>tr|A6PWE1|A6PWE1_MOUSE Coilin (Fragment) OS=Mus musculus GN=Coil PE=4 SV=1,5,5,11.2,0.00018208,,,,,,,,,,,,,,,100,88.4660468,87.3814,57.0095813,52.6911798,80.027096,60.5144166,7,0.020076198,0.222994336,1.28E-05,0.289000322,0.967015177,0.073042032,0.032984823,0.020520328,34.52581967,> 300,0.241589809,UN,0.066045043,
Q5SUF2,Luc7l3,>sp|Q5SUF2|LC7L3_MOUSE Luc7-like protein 3 OS=Mus musculus GN=Luc7l3 PE=1 SV=1;>sp|Q5SUF2-3|LC7L3_MOUSE Isoform 3 of Luc7-like protein 3 OS=Mus musculus GN=Luc7l3;>sp|Q5SUF2-2|LC7L3_MOUSE Isoform 2 of Luc7-like protein 3 OS=Mus musculus GN=Luc7l3,11,11,27.1,0,100,88.6009535,93.5855294,97.6059615,87.601318,97.6810812,80.243887,100,101.9815366,86.4698311,84.3181165,75.1179959,,,100,94.7364261,95.5146707,88.7908098,93.182113,92.5620163,92.2410939,19,0.00606674,0.08924762,0.000153444,0.51405137,0.404036679,0.007982116,0.595963321,0.004181507,114.2536482,> 300,0.052699973,UN,0.26382516,
