acc	id	pI	weight
DNJC7_HUMAN_1	Q99615	6.60	56309.65
DNJC8_HUMAN_1	O75937	9.05	29710.46
DNJC9_HUMAN_1	Q8WXX5	5.58	29909.71
DNS2A_HUMAN_1	O00115	8.35	37818.56
DYN1_HUMAN_1	Q05193	6.73	97408.25
DNM1L_HUMAN_1	O00429	6.37	81877.15
DYN2_HUMAN_1	P50570	7.04	98064.31
DNMT1_HUMAN_1	P26358	7.99	183165.23
DNM3A_HUMAN_1	Q9Y6K1	6.19	101858.32
DNPEP_HUMAN_1	Q9ULA0	7.03	52428.33
TDIF1_HUMAN_1	Q9H147	9.11	37013.34
TDIF2_HUMAN_1	Q5QJE6	5.86	84469.04
DOCK1_HUMAN_1	Q14185	7.29	215345.83
DOC10_HUMAN_1	Q96BY6	6.72	249530.92
DOC11_HUMAN_1	Q5JSL3	7.87	237670.82
DOCK2_HUMAN_1	Q92608	6.43	211948.27
DOCK4_HUMAN_1	Q8N1I0	7.57	225206.26
DOCK5_HUMAN_1	Q9H7D0	8.08	215308.73
DOCK6_HUMAN_1	Q96HP0	6.28	229558.12
DOCK7_HUMAN_1	Q96N67	6.34	242560.65
DOCK8_HUMAN_1	Q8NF50	6.43	238529.06
DOCK9_HUMAN_1	Q9BZ29	7.25	236445.63
DOHH_HUMAN_1	Q9BU89	4.74	32904.24
DOK1_HUMAN_1	Q99704	6.05	52391.83
DOK2_HUMAN_1	O60496	5.78	45378.87
DOP2_HUMAN_1	Q9Y3R5	5.90	258230.14
GPT_HUMAN_1	Q9H3H5	8.25	46090.01
DPCD_HUMAN_1	Q9BVM2	9.11	23239.75
REQU_HUMAN_1	Q92785	5.94	44024.28
DPH1_HUMAN_1	Q9BZG8	8.47	48805.31
DPH2_HUMAN_1	Q9BQC3	5.36	52082.61
DPH5_HUMAN_1	Q9H2P9	5.19	31651.43
DPM1_HUMAN_1	O60762	9.57	29503.08
DPM3_HUMAN_1	Q9P2X0	5.66	10093.72
DPP3_HUMAN_1	Q9NY33	5.02	82457.97
DPP4_HUMAN_1	P27487	5.67	88278.63
DPP4_HUMAN_2	P27487	5.67	84376.93
DPP2_HUMAN_1	Q9UHL4	5.57	51784.36
DPP9_HUMAN_1	Q86TI2	6.01	98132.21
DERM_HUMAN_1	Q07507	4.78	21964.28
D19L1_HUMAN_1	Q2PZI1	9.13	77318.58
DPY30_HUMAN_1	Q9C005	4.84	11249.72
DPYD_HUMAN_1	Q12882	6.84	111102.03
DPYL2_HUMAN_1	Q16555	5.95	62293.63
DPYL3_HUMAN_1	Q14195	6.04	61963.31
NC2B_HUMAN_1	Q01658	4.69	19312.47
NC2A_HUMAN_1	Q14919	5.04	22218.65
DRG1_HUMAN_1	Q9Y295	9.00	40410.96
DRG2_HUMAN_1	P55039	9.02	40746.44
DSC2_HUMAN_1	Q02487	4.80	84727.90
DSCR3_HUMAN_1	O14972	7.60	33010.41
DSG2_HUMAN_1	Q14126	4.93	116751.28
DSN1_HUMAN_1	Q9H410	6.57	40067.19
DESP_HUMAN_1	P15924	6.44	331773.89
DYST_HUMAN_1	Q03001	5.14	860661.82
DEST_HUMAN_1	P60981	8.12	18374.53
DTD1_HUMAN_1	Q8TEA8	8.35	23423.55
DTNB_HUMAN_1	O60941	8.11	71355.57
DTBP1_HUMAN_1	Q96EV8	4.59	39492.98
DTX3L_HUMAN_1	Q8TDB6	8.32	83423.15
KTHY_HUMAN_1	P23919	8.43	23688.14
DUS1L_HUMAN_1	Q6P1R4	8.65	53230.38
DUS3L_HUMAN_1	Q96G46	8.40	72462.64
DUS11_HUMAN_1	O75319	9.47	38938.85
DUS12_HUMAN_1	Q9UNI6	6.41	37687.34
DUS23_HUMAN_1	Q9BVJ7	8.47	16456.96
DUS3_HUMAN_1	P51452	7.66	20478.29
DUT_HUMAN_1	P33316	7.96	19345.84
DVL2_HUMAN_1	O14641	5.67	78947.95
DVL3_HUMAN_1	Q92997	6.18	78054.87
DYM_HUMAN_1	Q7RTS9	5.56	75804.27
DYHC1_HUMAN_1	Q14204	6.01	532276.52
DC1I2_HUMAN_1	Q13409	5.08	71325.40
DC1L1_HUMAN_1	Q9Y6G9	6.01	56579.14
DC1L2_HUMAN_1	O43237	5.97	54099.28
DYHC2_HUMAN_1	Q8NCM8	6.13	492621.91
DYL1_HUMAN_1	P63167	6.89	10365.88
DYL2_HUMAN_1	Q96FJ2	6.81	10349.84
DLRB1_HUMAN_1	Q9NP97	6.84	10790.41
DYLT1_HUMAN_1	P63172	5.00	12452.04
DYLT3_HUMAN_1	P51808	5.37	13061.67
DYR1A_HUMAN_1	Q13627	8.90	85583.80
DYSF_HUMAN_1	O75923	5.44	237294.96
E2F4_HUMAN_1	Q16254	4.66	43829.22
EAPP_HUMAN_1	Q56P03	5.00	32762.18
SYEM_HUMAN_1	Q5JPH6	8.10	54231.40
RCAS1_HUMAN_1	O00559	6.04	24377.49
EBP2_HUMAN_1	Q99848	10.10	34851.95
EBP_HUMAN_1	Q15125	7.73	26221.61
ECD_HUMAN_1	O95905	4.75	72758.05
ECE1_HUMAN_1	P42892	5.61	87163.68
ECE2_HUMAN_1	O60344	4.98	99773.44
ECH1_HUMAN_1	Q13011	5.99	32205.87
ECHD1_HUMAN_1	Q9NTX5	8.32	33698.02
ECHD3_HUMAN_1	Q96DC8	8.81	30999.72
ECHM_HUMAN_1	P30084	5.88	28342.60
ECI1_HUMAN_1	P42126	6.00	28736.19
ECI2_HUMAN_1	O75521	8.71	39250.96
ECM1_HUMAN_1	Q16610	6.19	58811.87
ECM2_HUMAN_1	O94769	5.30	77440.41
ECSIT_HUMAN_1	Q9BQ95	5.34	44175.32
ECT2_HUMAN_1	Q9H8V3	7.82	103373.66
EDC3_HUMAN_1	Q96F86	6.65	56077.54
EDC4_HUMAN_1	Q6P2E9	5.55	151530.04
EDEM3_HUMAN_1	Q9BZQ6	4.76	100531.16
EDF1_HUMAN_1	O60869	9.95	16237.49
EEA1_HUMAN_1	Q15075	5.55	162465.75
EED_HUMAN_1	O75530	6.57	50066.50
EF1A1_HUMAN_1	P68104	9.10	50140.86
EF1A2_HUMAN_1	Q05639	9.11	50470.16
EF1B_HUMAN_1	P24534	4.50	24632.54
EF1D_HUMAN_1	P29692	4.90	30990.64
MCA3_HUMAN_1	O43324	8.58	19679.38
EF1G_HUMAN_1	P26641	6.27	49987.62
EF2_HUMAN_1	P13639	6.42	95206.95
EF2K_HUMAN_1	O00418	5.15	82012.92
SELB_HUMAN_1	P57772	8.61	65304.68
FBLN3_HUMAN_1	Q12805	4.85	52765.10
FBLN4_HUMAN_1	O95967	4.79	46854.23
EFHD1_HUMAN_1	Q9BUP0	5.34	26927.70
EFHD2_HUMAN_1	Q96C19	5.15	26566.09
EFNB1_HUMAN_1	P98172	8.75	34913.77
EFNB2_HUMAN_1	P52799	8.75	33781.38
EFR3A_HUMAN_1	Q14156	6.24	92924.35
EFL1_HUMAN_1	Q7Z2Z2	5.66	125429.73
U5S1_HUMAN_1	Q15029	4.84	109435.78
EGFR_HUMAN_1	P00533	6.17	132012.67
EGLN1_HUMAN_1	Q9GZT9	8.84	45889.78
EHBP1_HUMAN_1	Q8NDI1	5.24	140017.30
EH1L1_HUMAN_1	Q8N3D4	4.80	161854.47
EHD1_HUMAN_1	Q9H4M9	6.35	60626.86
EHD2_HUMAN_1	Q9NZN4	6.02	61161.40
EHD3_HUMAN_1	Q9NZN3	6.11	60887.13
EHD4_HUMAN_1	Q9H223	6.32	61175.13
EHF_HUMAN_1	Q9NZC4	6.83	34892.22
ECHP_HUMAN_1	Q08426	9.24	79494.88
EHMT1_HUMAN_1	Q9H9B1	5.50	141466.28
EHMT2_HUMAN_1	Q96KQ7	5.30	132239.29
EI24_HUMAN_1	O14681	9.75	38833.54
EIF1_HUMAN_1	P41567	6.87	12601.30
EIF1A_HUMAN_1	Q8N9N8	5.14	19053.09
IF1AX_HUMAN_1	P47813	5.07	16329.21
EIF2A_HUMAN_1	Q9BY44	9.01	64990.12
EIF2A_HUMAN_2	Q9BY44	9.01	64858.92
E2AK2_HUMAN_1	P19525	8.59	61963.07
E2AK4_HUMAN_1	Q9P2K8	5.88	186910.56
EI2BA_HUMAN_1	Q14232	6.91	33712.20
EI2BB_HUMAN_1	P49770	5.77	38989.63
EI2BG_HUMAN_1	Q9NR50	6.08	50240.29
EI2BD_HUMAN_1	Q9UI10	9.45	57426.04
EI2BE_HUMAN_1	Q13144	4.97	80248.68
EIF2D_HUMAN_1	P41214	7.56	64706.46
IF2A_HUMAN_1	P05198	5.01	36112.16
IF2B_HUMAN_1	P20042	5.60	38257.22
IF2G_HUMAN_1	P41091	8.66	50978.30
EIF3A_HUMAN_1	Q14152	6.39	166438.18
EIF3B_HUMAN_1	P55884	4.89	92481.62
EIF3D_HUMAN_1	O15371	5.79	63972.77
EIF3E_HUMAN_1	P60228	5.72	52089.62
EIF3F_HUMAN_1	O00303	5.24	37432.66
EIF3G_HUMAN_1	O75821	5.88	35479.82
EIF3H_HUMAN_1	O15372	6.09	39930.32
EIF3I_HUMAN_1	Q13347	5.38	36501.85
EIF3J_HUMAN_1	O75822	4.72	28931.21
EIF3K_HUMAN_1	Q9UBQ5	4.81	24928.48
EIF3L_HUMAN_1	Q9Y262	5.93	66595.79
EIF3M_HUMAN_1	Q7L2H7	5.41	42371.70
IF4A2_HUMAN_1	Q14240	5.33	46402.27
IF4A3_HUMAN_1	P38919	6.30	46871.03
IF4A3_HUMAN_2	P38919	6.33	46739.84
IF4B_HUMAN_1	P23588	5.54	69151.22
IF4E_HUMAN_1	P06730	5.80	24966.06
IF4E2_HUMAN_1	O60573	8.97	28361.96
IF4E3_HUMAN_1	Q8N5X7	5.98	24440.85
4EBP2_HUMAN_1	Q13542	6.16	12939.37
4ET_HUMAN_1	Q9NRA8	8.45	108200.89
IF4G1_HUMAN_1	Q04637	5.25	175491.03
IF4G2_HUMAN_1	P78344	6.69	102361.86
IF4G3_HUMAN_1	O43432	5.27	176652.26
IF4H_HUMAN_1	Q15056	6.91	27253.87
IF5_HUMAN_1	P55010	5.41	49222.73
IF5A1_HUMAN_1	P63241	5.08	16701.06
IF2P_HUMAN_1	O60841	5.39	138826.85
IF6_HUMAN_1	P56537	4.56	26599.07
RNZ2_HUMAN_1	Q9BQ52	7.81	90469.86
ELNE_HUMAN_1	P08246	9.89	25561.40
ELAV1_HUMAN_1	Q15717	9.23	35960.69
ELF1_HUMAN_1	P32519	5.09	67497.94
ELF2_HUMAN_1	Q15723	6.15	63966.82
ELF3_HUMAN_1	P78545	5.52	41454.23
ELL_HUMAN_1	P55199	9.43	68133.54
ELMO1_HUMAN_1	Q92556	5.89	83829.45
ELMO2_HUMAN_1	Q96JJ3	5.62	82615.12
ELMO3_HUMAN_1	Q96BJ8	5.94	81467.04
ELMD2_HUMAN_1	Q8IZ81	8.12	34960.59
ELN_HUMAN_1	P15502	10.32	65821.35
ELOV1_HUMAN_1	Q9BW60	9.62	32662.69
ELP2_HUMAN_1	Q6IA86	5.60	92500.02
ELP3_HUMAN_1	Q9H9T3	9.04	62258.91
ELP4_HUMAN_1	Q96EB1	8.75	46587.66
EMD_HUMAN_1	P50402	5.29	28993.86
NEP1_HUMAN_1	Q92979	9.28	26588.92
EMIL1_HUMAN_1	Q9Y6C2	5.05	104469.40
EMIL2_HUMAN_1	Q9BXX0	5.82	112196.00
EMAL1_HUMAN_1	O00423	6.61	89860.89
EMAL2_HUMAN_1	O95834	5.86	70678.80
EMAL3_HUMAN_1	Q32P44	6.69	95196.75
EMAL4_HUMAN_1	Q9HC35	5.96	108916.22
ENAH_HUMAN_1	Q8N8S7	6.51	66510.26
ENDD1_HUMAN_1	O94919	5.54	52887.06
NUCG_HUMAN_1	Q14249	8.92	27717.43
EGLN_HUMAN_1	P17813	6.15	68095.09
ENASE_HUMAN_1	Q8NFI3	6.34	83986.76
ENOA_HUMAN_1	P06733	6.99	47037.77
ENOG_HUMAN_1	P09104	4.91	47137.39
ENOB_HUMAN_1	P13929	7.73	46855.69
ENOPH_HUMAN_1	Q9UHY7	4.66	28932.67
ENOF1_HUMAN_1	Q7L5Y1	6.03	49786.49
AMPE_HUMAN_1	Q07075	5.31	109244.43
ENPP1_HUMAN_1	P22413	6.76	104924.48
ENPP2_HUMAN_1	Q13822	6.61	95051.90
ENPP4_HUMAN_1	Q9Y6X5	5.64	50041.03
ENSA_HUMAN_1	O43768	6.58	13257.83
ENTP1_HUMAN_1	P49961	5.93	57964.51
ENTP5_HUMAN_1	O75356	5.75	44916.18
ENY2_HUMAN_1	Q9NPA8	9.39	11528.61
EP300_HUMAN_1	Q09472	8.81	264029.41
EP400_HUMAN_1	Q96L91	9.27	343489.14
41_HUMAN_1	P11171	5.41	97016.88
E41L1_HUMAN_1	Q9H4G0	5.43	98502.88
E41L2_HUMAN_1	O43491	5.34	112456.89
E41L3_HUMAN_1	Q9Y2J2	5.09	120677.63
E41L3_HUMAN_2	Q9Y2J2	5.09	120546.44
E41LB_HUMAN_1	Q9H329	9.17	99712.50
E41L5_HUMAN_1	Q9HCM4	6.15	81856.19
EPCAM_HUMAN_1	P16422	7.56	32733.63
EPDR1_HUMAN_1	Q9UM22	5.27	21732.63
EPG5_HUMAN_1	Q9HCE0	5.99	292480.57
EPHB2_HUMAN_1	P29323	6.00	115634.26
EPHB3_HUMAN_1	P54753	5.81	106908.53
EPHB4_HUMAN_1	P54760	6.50	106641.18
HYEP_HUMAN_1	P07099	6.77	52948.89
HYES_HUMAN_1	P34913	5.91	62615.75
EPMIP_HUMAN_1	Q7L775	5.77	70369.55
EPN1_HUMAN_1	Q9Y6I3	4.72	60293.27
EPN2_HUMAN_1	O95208	7.11	68481.62
EPN3_HUMAN_1	Q9H201	5.64	68222.23
EPIPL_HUMAN_1	P58107	5.44	555620.96
SYEP_HUMAN_1	P07814	7.02	170590.90
EPS15_HUMAN_1	P42566	4.52	98524.55
EP15R_HUMAN_1	Q9UBC2	4.93	94123.90
EPS8_HUMAN_1	Q12929	7.10	91881.52
ES8L1_HUMAN_1	Q8TE68	5.76	80251.07
ES8L2_HUMAN_1	Q9H6S3	6.39	80620.61
ESIP1_HUMAN_1	Q96J88	9.90	36793.28
ERAL1_HUMAN_1	O75616	8.35	43449.25
ERAP1_HUMAN_1	Q9NZ08	6.02	107234.80
ERAP2_HUMAN_1	Q6P179	6.25	110461.69
ERBB2_HUMAN_1	P04626	5.58	135661.72
LAP2_HUMAN_1	Q96RT1	5.32	158298.11
RB6I2_HUMAN_1	Q8IUD2	5.72	128086.39
ERCC1_HUMAN_1	P07992	5.90	32562.38
ERCC2_HUMAN_1	P18074	6.72	86909.20
ERCC3_HUMAN_1	P19447	6.83	89277.70
XPF_HUMAN_1	Q92889	6.50	104485.98
ERCC6_HUMAN_1	Q03468	8.28	168416.12
ERF_HUMAN_1	P50548	6.85	58702.98
ERGI1_HUMAN_1	Q969X5	6.59	32592.30
ERGI2_HUMAN_1	Q96RQ1	6.27	42548.69
ERGI3_HUMAN_1	Q9Y282	5.68	43222.40
ERH_HUMAN_1	P84090	5.62	12127.74
ERI1_HUMAN_1	Q8IV48	6.32	39932.75
ERI3_HUMAN_1	O43414	8.33	37238.22
ERLEC_HUMAN_1	Q96DZ1	5.94	51767.64
ERLN1_HUMAN_1	O75477	7.67	38925.82
ERLN2_HUMAN_1	O94905	5.47	37839.54
ERMP1_HUMAN_1	Q7Z2K6	7.20	100231.33
ERP29_HUMAN_1	P30040	6.08	25852.61
ERP44_HUMAN_1	Q9BS26	5.04	43718.23
ESTD_HUMAN_1	P10768	6.58	31331.60
ESF1_HUMAN_1	Q9H501	5.01	98664.93
ESPN_HUMAN_1	B1AK53	6.47	91732.54
ESRP1_HUMAN_1	Q6NXG1	6.24	75585.38
ESRP2_HUMAN_1	Q9H6T0	6.27	78401.05
ERR1_HUMAN_1	P11474	6.01	45509.60
ESYT1_HUMAN_1	Q9BSJ8	5.57	122856.45
ESYT2_HUMAN_1	A0FGR8	9.33	102357.48
ERF1_HUMAN_1	P62495	5.51	48899.71
ETFA_HUMAN_1	P13804	7.10	32965.03
ETFB_HUMAN_1	P38117	8.29	27712.42
ETFD_HUMAN_1	Q16134	6.52	64675.68
ETHE1_HUMAN_1	O95571	6.37	27101.99
EKI1_HUMAN_1	Q9HBU6	6.09	50968.31
ETV6_HUMAN_1	P41212	6.95	52999.93
EVI2B_HUMAN_1	P34910	4.62	46163.28
EVI5L_HUMAN_1	Q96CN4	5.25	91375.62
EVL_HUMAN_1	Q9UI08	8.91	44619.80
EVPL_HUMAN_1	Q92817	6.56	231604.11
EWS_HUMAN_1	Q01844	9.37	68478.24
EXD2_HUMAN_1	Q9NVH0	8.63	70352.65
EXOC1_HUMAN_1	Q9NV70	6.16	101850.34
EXOC2_HUMAN_1	Q96KP1	6.46	104066.27
EXOC3_HUMAN_1	O60645	5.80	86844.81
EXOC4_HUMAN_1	Q96A65	6.07	110366.87
EXOC5_HUMAN_1	O00471	6.28	81721.68
EXOC6_HUMAN_1	Q8TAG9	5.82	93722.33
EXC6B_HUMAN_1	Q9Y2D4	6.03	94200.78
EXOC7_HUMAN_1	Q9UPT5	6.33	83381.92
EXOC8_HUMAN_1	Q8IYI6	5.35	81799.08
EXOS1_HUMAN_1	Q9Y3B2	8.51	21451.75
EXOSX_HUMAN_1	Q01780	8.68	100831.19
EXOS2_HUMAN_1	Q13868	7.06	32788.99
EXOS3_HUMAN_1	Q9NQT5	8.42	29440.97
EXOS4_HUMAN_1	Q9NPD3	6.08	26251.77
EXOS5_HUMAN_1	Q9NQT4	7.54	25248.94
EXOS6_HUMAN_1	Q5RKV6	6.06	28235.15
EXOS7_HUMAN_1	Q15024	5.08	31690.22
EXOS8_HUMAN_1	Q96B26	5.17	29908.38
EXOS9_HUMAN_1	Q06265	5.19	48949.02
EYA3_HUMAN_1	Q99504	5.06	62662.82
EZH2_HUMAN_1	Q15910	6.65	85363.18
EZRI_HUMAN_1	P15311	5.95	69281.61
FA10_HUMAN_1	P00742	5.38	50336.41
FA10_HUMAN_2	P00742	4.59	15725.35
FA10_HUMAN_3	P00742	6.12	34188.53
FA10_HUMAN_4	P00742	8.51	28509.54
FA11_HUMAN_1	P03951	8.47	41207.07
FA11_HUMAN_2	P03951	8.33	26836.55
JAM1_HUMAN_1	Q9Y624	6.72	29682.46
FA12_HUMAN_1	P00748	9.00	39647.11
FA12_HUMAN_2	P00748	8.25	931.03
FA12_HUMAN_3	P00748	5.06	26104.45
F13A_HUMAN_1	P00488	5.81	79244.88
F13B_HUMAN_1	P05160	5.94	73206.80
THRB_HUMAN_1	P00734	5.23	65308.20
THRB_HUMAN_2	P00734	5.01	17376.20
THRB_HUMAN_3	P00734	4.25	14157.32
THRB_HUMAN_4	P00734	4.65	4090.53
THRB_HUMAN_5	P00734	8.88	29738.19
FA5_HUMAN_1	P12259	5.68	248686.90
FA5_HUMAN_2	P12259	5.78	81173.52
FA5_HUMAN_3	P12259	8.47	75187.14
F8I2_HUMAN_1	P23610	6.40	38971.84
FA9_HUMAN_1	P00740	5.20	46578.23
FA9_HUMAN_2	P00740	4.65	16488.24
FA9_HUMAN_3	P00740	7.22	26156.83
FAAH1_HUMAN_1	O00519	7.82	63065.84
FABPH_HUMAN_1	P05413	6.34	14726.84
FABP4_HUMAN_1	P15090	6.80	14587.70
FABP5_HUMAN_1	Q01469	6.82	15033.24
FABP6_HUMAN_1	P51161	6.35	14240.05
FADD_HUMAN_1	Q13158	5.48	23279.36
FADS2_HUMAN_1	O95864	8.86	52259.38
FAF1_HUMAN_1	Q9UNN5	4.80	73954.12
FAF2_HUMAN_1	Q96CS3	5.45	52492.26
FAAA_HUMAN_1	P16930	6.45	46243.13
FAHD1_HUMAN_1	Q6P587	6.00	21718.25
FAH2A_HUMAN_1	Q96GK7	8.48	34596.22
FAIM1_HUMAN_1	Q9NVQ4	5.55	20083.75
RAM_HUMAN_1	Q9BTL3	8.89	14250.28
F105A_HUMAN_1	Q9NUU6	9.36	42195.94
F107B_HUMAN_1	Q9H098	8.12	15426.52
F111A_HUMAN_1	Q96PZ2	8.77	70196.25
NXP20_HUMAN_1	Q8IWE2	4.61	60741.71
F1142_HUMAN_1	Q9NRY5	4.85	55468.25
F118B_HUMAN_1	Q9BPY3	5.65	39367.90
F120A_HUMAN_1	Q9NZB2	9.07	121887.69
F120B_HUMAN_1	Q96EK7	5.49	103783.35
F120C_HUMAN_1	Q9NX05	9.19	120588.10
HYCCI_HUMAN_1	Q9BYI3	8.45	57625.43
NIBAN_HUMAN_1	Q9BZQ8	4.73	103003.49
NIBL1_HUMAN_1	Q96TA1	5.82	84006.67
F133B_HUMAN_1	Q5BKY9	10.02	28385.00
F134A_HUMAN_1	Q8NC44	4.39	57830.07
F134C_HUMAN_1	Q86VR2	4.84	51265.04
F136A_HUMAN_1	Q96C01	7.72	15510.03
F16A2_HUMAN_1	Q8N612	6.33	105568.24
F16B1_HUMAN_1	Q5W0V3	5.13	86558.33
F162A_HUMAN_1	Q96A26	9.81	17342.35
F168A_HUMAN_1	Q92567	9.01	26184.33
F169A_HUMAN_1	Q9Y6X4	4.52	74954.84
F172A_HUMAN_1	Q8WUF8	5.76	45987.91
F175A_HUMAN_1	Q6UWZ7	6.58	46662.74
F175B_HUMAN_1	Q15018	5.83	46900.83
F177A_HUMAN_1	Q8N128	4.40	23757.38
F188A_HUMAN_1	Q9H8M7	4.69	49724.58
F192A_HUMAN_1	Q9GZU8	5.38	28912.17
F195B_HUMAN_1	C9JLW8	9.39	10920.23
F207A_HUMAN_1	Q9NSI2	11.07	25456.25
TASOR_HUMAN_1	Q9UK61	5.55	188900.33
F208B_HUMAN_1	Q5VWN6	5.61	268842.70
XYLK_HUMAN_1	O75063	6.40	46432.48
F210A_HUMAN_1	Q96ND0	9.77	30776.62
F213A_HUMAN_1	Q9BRX8	8.92	25764.14
PGFS_HUMAN_1	Q8TBF2	6.20	21222.54
FA21A_HUMAN_1	Q641Q2	4.69	147183.78
FA21C_HUMAN_1	Q9Y4E1	4.67	144667.92
FA32A_HUMAN_1	Q9Y421	9.99	13178.34
FAM3C_HUMAN_1	Q92520	7.75	22159.32
FA49A_HUMAN_1	Q9H0Q0	5.71	37312.85
FA49B_HUMAN_1	Q9NUQ9	5.76	36616.78
FA50A_HUMAN_1	Q14320	6.41	40110.39
FA60A_HUMAN_1	Q9NP50	9.51	24852.37
FA65A_HUMAN_1	Q6ZS17	5.87	132307.67
FA76B_HUMAN_1	Q5HYJ3	9.38	38576.72
FA83H_HUMAN_1	Q6ZRV2	6.52	127122.29
FA84B_HUMAN_1	Q96KN1	5.34	34474.28
FA89B_HUMAN_1	Q8N5H3	5.10	20147.49
F91A1_HUMAN_1	Q658Y4	5.95	93909.00
FA96A_HUMAN_1	Q9H5X1	4.86	18355.11
MIP18_HUMAN_1	Q9Y3D0	5.07	17531.84
FA98A_HUMAN_1	Q8NCA5	9.15	55400.69
FA98B_HUMAN_1	Q52LJ0	5.96	37190.88
FA98C_HUMAN_1	Q17RN3	6.89	37329.01
FANCI_HUMAN_1	Q9NVI1	6.31	149323.89
SEPR_HUMAN_1	Q12884	6.21	87712.56
SEPR_HUMAN_2	Q12884	6.03	85249.42
FARP1_HUMAN_1	Q9Y4F1	8.33	118632.93
FARP2_HUMAN_1	O94887	8.96	119888.48
SYFM_HUMAN_1	O95363	UNDEFINED	0.00
SYFA_HUMAN_1	Q9Y285	7.46	57432.45
SYFB_HUMAN_1	Q9NSD9	6.39	66115.61
TNR6_HUMAN_1	P25445	8.02	35079.97
FAS_HUMAN_1	P49327	6.01	273426.61
FAKD1_HUMAN_1	Q53R41	UNDEFINED	0.00
FAKD2_HUMAN_1	Q9NYY8	UNDEFINED	0.00
FAKD5_HUMAN_1	Q7L8L6	7.65	83660.80
FAT1_HUMAN_1	Q14517	4.84	503882.82
FAT1_HUMAN_2	Q14517	UNDEFINED	0.00
FBRL_HUMAN_1	P22087	10.18	33784.22
FBLI1_HUMAN_1	Q8WUP2	5.71	40669.76
FBLN1_HUMAN_1	P23142	5.03	74290.50
FBLN2_HUMAN_1	P98095	4.74	123928.50
FBLN5_HUMAN_1	Q9UBX5	4.50	47819.54
FBN1_HUMAN_1	P35555	4.74	291589.16
FBN1_HUMAN_2	P35555	5.55	15882.85
FBN2_HUMAN_1	P35556	4.62	290933.47
FBN2_HUMAN_2	P35556	6.05	15327.54
F16P1_HUMAN_1	P09467	6.61	36711.28
F16P2_HUMAN_1	O00757	6.84	36743.15
FXL18_HUMAN_1	Q96ME1	8.73	88341.36
FXL20_HUMAN_1	Q96IG2	7.65	48423.16
FBX2_HUMAN_1	Q9UK22	4.29	33327.68
FBX21_HUMAN_1	O94952	5.72	72270.08
FBX22_HUMAN_1	Q8NEZ5	6.61	44508.36
FBX3_HUMAN_1	Q9UK99	4.88	54560.53
FBX38_HUMAN_1	Q6PIJ6	5.92	133943.76
FBX4_HUMAN_1	Q9UKT5	5.77	44136.02
FBX6_HUMAN_1	Q9NRD1	5.73	33932.60
FBX7_HUMAN_1	Q9Y3I1	6.11	58502.80
FBXW9_HUMAN_1	Q5XUX1	6.02	54115.16
FCERG_HUMAN_1	P30273	7.96	7808.09
FCF1_HUMAN_1	Q9Y324	9.74	23369.58
FCGBP_HUMAN_1	Q9Y6R7	5.15	569344.53
FCGR1_HUMAN_1	P12314	8.39	40858.64
FCG2A_HUMAN_1	P12318	6.37	31300.28
FCG2B_HUMAN_1	P31994	5.91	29491.24
FCG3A_HUMAN_1	P08637	8.24	27324.89
FCGRN_HUMAN_1	P55899	5.94	37328.37
FCHO2_HUMAN_1	Q0JRZ9	6.42	88924.43
FCSD1_HUMAN_1	Q86WN1	5.23	76942.19
FCSD2_HUMAN_1	O94868	5.55	84276.44
FCN1_HUMAN_1	O00602	6.11	32017.65
FCN2_HUMAN_1	Q15485	6.65	31413.02
FCN3_HUMAN_1	O75636	6.22	30353.77
FDFT_HUMAN_1	P37268	6.10	48115.28
FPPS_HUMAN_1	P14324	5.83	48275.48
ADX_HUMAN_1	P10109	4.36	13561.13
ADXL_HUMAN_1	Q6P4F2	4.57	14262.94
ADRO_HUMAN_1	P22570	7.65	49995.38
HEMH_HUMAN_1	P22830	8.61	42186.67
FEM1B_HUMAN_1	Q9UK73	6.14	70264.20
FEN1_HUMAN_1	P39748	8.80	42592.98
FER_HUMAN_1	P16591	6.72	94637.90
FERM1_HUMAN_1	Q9BQL6	5.91	77436.79
FERM2_HUMAN_1	Q96AC1	6.26	77860.53
URP2_HUMAN_1	Q86UX7	6.53	75952.81
FES_HUMAN_1	P07332	6.27	93496.58
FETUB_HUMAN_1	Q9UGM5	6.52	40487.82
FIBA_HUMAN_1	P02671	3.92	1536.57
FIBA_HUMAN_2	P02671	5.79	91358.87
FIBB_HUMAN_1	P02675	4.14	1569.61
FIBB_HUMAN_2	P02675	7.95	50762.93
FGD4_HUMAN_1	Q96M96	5.80	86626.33
FR1OP_HUMAN_1	O95684	4.67	43064.89
FGOP2_HUMAN_1	Q9NVK5	5.69	29426.32
FIBG_HUMAN_1	P02679	5.24	48483.03
FGGY_HUMAN_1	Q96C11	5.90	59993.08
FGL2_HUMAN_1	Q14314	6.83	47642.55
FUMH_HUMAN_1	P07954	6.99	50081.55
FHIT_HUMAN_1	P49789	6.54	16858.18
FHL1_HUMAN_1	Q13642	9.25	36131.83
FHL2_HUMAN_1	Q14192	7.80	32192.85
FHL3_HUMAN_1	Q13643	5.79	31060.77
FHOD1_HUMAN_1	Q9Y613	6.02	126420.14
FIBP_HUMAN_1	O43427	6.01	41746.87
FIL1L_HUMAN_1	Q4L180	6.17	130381.70
FIP1_HUMAN_1	Q6UN15	5.42	66526.39
